0,city,county,lat_lng,address
鸿泰乐颐小镇,南通市,海门区,"121.426666,31.793935",江苏省南通市海门市鸿泰乐颐小镇
海门麓园,南通市,海门区,"121.123088,31.883544",江苏省南通市海门市海门
金凤花园,南通市,海安市,"120.480903,32.528146",江苏省南通市海安县金凤花园
中华园,南通市,海门区,"121.243031,31.892143",江苏省南通市海门市中华园
海门三盛-璞悦府,南通市,海门区,"121.123088,31.883544",江苏省南通市海门市海门
海门江海都会,南通市,海门区,"121.181615,31.871173",江苏省南通市海门市
公园里,南通市,崇川区,"120.863883,32.055719",江苏省南通市港闸区万科公园里
招商海门国际,南通市,海门区,"121.123088,31.883544",江苏省南通市海门市海门
长宏水岸名城,南通市,海安市,"120.437429,32.541540",江苏省南通市海安县长宏水岸名城
海湾壹号,南通市,海门区,"121.445100,32.106650",江苏省南通市海门市海湾壹号
滨湖花园,南通市,海门区,"121.377700,31.854040",江苏省南通市海门市滨湖花园
佳城御龙湾,南通市,如皋市,"120.578140,32.372402",江苏省南通市如皋市御龙湾
云起苑,南通市,海门区,"121.154911,31.876594",江苏省南通市海门市云起苑
御景园,南通市,通州区,"121.127484,32.190008",江苏省南通市通州区御景园
海门中南碧桂园,南通市,海门区,"121.252458,31.939709",江苏省南通市海门市中南
麒麟嘉苑,南通市,崇川区,"120.882461,31.996129",江苏省南通市崇川区文景嘉苑
海门中南樾府,南通市,海门区,"121.252458,31.939709",江苏省南通市海门市中南
海门上悦城,南通市,海门区,"121.123088,31.883544",江苏省南通市海门市海门
湖光映月,南通市,海安市,"120.494698,32.532260",江苏省南通市海安县湖光
江海都会,南通市,通州区,"121.072598,32.061027",江苏省南通市通州区江海
海门沁园,南通市,海安市,"120.445777,32.531045",江苏省南通市海安县华盛沁园
北宸壹号馨园,南通市,如皋市,"120.588547,32.391513",江苏省南通市如皋市馨园
京扬数码广场,南通市,崇川区,"120.900047,32.024439",江苏省南通市崇川区京扬数码广场
半岛托斯卡纳,南通市,海门区,"121.425792,31.779457",江苏省南通市海门市半岛托斯卡纳
金鼎名城,南通市,如皋市,"120.569804,32.373511",江苏省南通市如皋市金鼎名城
苏建优景美地,南通市,海安市,"120.473222,32.515131",江苏省南通市海安县苏建优景美地
北海幸福苑,南通市,海门区,"121.179408,31.905972",江苏省南通市海门市幸福苑
滨江新希望新城海名雅园,杭州市,滨江区,"120.151667,30.169379",浙江省杭州市滨江区滨江
华景川运河宸园,杭州市,拱墅区,"120.132968,30.315526",浙江省杭州市拱墅区运河宸园
万城景湖园,杭州市,余杭区,"120.198393,30.472536",浙江省杭州市余杭区景湖园
富力三江都荟,杭州市,富阳区,"119.944611,30.041204",浙江省杭州市富阳区三江
新城英冠-香悦和鸣,杭州市,钱塘区,"120.213982,30.250397",浙江省杭州市江干区钱江新城
东哲钱塘滙,杭州市,钱塘区,"120.196588,30.251630",浙江省杭州市江干区钱塘汇
宝龙城市广场,杭州市,钱塘区,"120.383892,30.311511",浙江省杭州市江干区宝龙城市广场
美达晓城天地,杭州市,钱塘区,"120.330306,30.309640",浙江省杭州市江干区美达晓城天地
富邦星座,杭州市,上城区,"120.192960,30.244212",浙江省杭州市上城区星座
理想银泰城,杭州市,余杭区,"120.301330,30.404205",浙江省杭州市余杭区理想银泰城
东方铭楼,杭州市,钱塘区,"120.333171,30.308621",浙江省杭州市江干区东方铭楼
宋都时间名座后浪,杭州市,余杭区,"120.281984,30.405787",浙江省杭州市余杭区宋都时间名座
万宝城,杭州市,余杭区,"120.284223,30.432485",浙江省杭州市余杭区万宝城
华元欢乐城小宝,杭州市,余杭区,"120.304160,30.396430",浙江省杭州市余杭区华元欢乐城小宝
杭州湾融创文旅城-凭澜居西区,杭州市,西湖区,"120.112836,30.282554",浙江省杭州市西湖区西区
碧桂园万科悦望名邸,杭州市,钱塘区,"120.392491,30.330876",浙江省杭州市江干区碧桂园
阳光城兴耀花漾里,杭州市,余杭区,"119.936485,30.240591",浙江省杭州市余杭区阳光城
九城渔人码头,杭州市,余杭区,"120.310113,30.422961",浙江省杭州市余杭区渔人码头
新希望锦畔云汀,杭州市,临安区,"119.725496,30.244714",浙江省杭州市临安区新希望
中旅时光里,杭州市,建德市,"119.278060,29.470450",浙江省杭州市建德市时光里
龙湖天宸原著,杭州市,钱塘区,"120.328047,30.310309",浙江省杭州市江干区龙湖
大地-西城美院,杭州市,上城区,"120.194980,30.243748",浙江省杭州市上城区大地
碧桂园良樾,杭州市,钱塘区,"120.392491,30.330876",浙江省杭州市江干区碧桂园
滨江新希望新城未来海岸,杭州市,滨江区,"120.151667,30.169379",浙江省杭州市滨江区滨江
越秀景瑞悦见山,杭州市,临安区,"119.824362,30.261634",浙江省杭州市临安区越秀
赞成首府,杭州市,余杭区,"120.283580,30.389573",浙江省杭州市余杭区赞成首府
滨江华成大江之星,杭州市,滨江区,"120.151667,30.169379",浙江省杭州市滨江区滨江
野风启城,杭州市,余杭区,"120.229333,30.455850",浙江省杭州市余杭区野风启城
赞成檀府,杭州市,余杭区,"120.318511,30.432467",浙江省杭州市余杭区赞成檀府
兴耀星悦湾,杭州市,萧山区,"120.481761,30.254354",浙江省杭州市萧山区兴耀星悦湾
潮闻天下,杭州市,萧山区,"120.415524,30.287726",浙江省杭州市萧山区潮闻天下
中国铁建保利像素,杭州市,钱塘区,"120.385307,30.333163",浙江省杭州市江干区中国铁建保利像素
钱塘梧桐蓝山,杭州市,余杭区,"120.286679,30.396104",浙江省杭州市余杭区钱塘梧桐蓝山
东厦东港花苑,杭州市,余杭区,"120.271666,30.431600",浙江省杭州市余杭区东厦东港花苑
通和十二橡树,杭州市,余杭区,"120.250683,30.395310",浙江省杭州市余杭区通和十二橡树
宋都丽郡国际,杭州市,萧山区,"120.491349,30.273107",浙江省杭州市萧山区宋都丽郡国际
星运丽园兰逸,杭州市,余杭区,"120.262520,30.393754",浙江省杭州市余杭区星运丽园
碧桂园天麓府,杭州市,钱塘区,"120.392491,30.330876",浙江省杭州市江干区碧桂园
碧桂园越溪府,杭州市,钱塘区,"120.392491,30.330876",浙江省杭州市江干区碧桂园
临平芳满庭,杭州市,余杭区,"120.302265,30.421949",浙江省杭州市余杭区临平
旭辉宝龙东湖城,杭州市,钱塘区,"120.381884,30.312411",浙江省杭州市江干区宝龙
龙湖江与城,杭州市,钱塘区,"120.328047,30.310309",浙江省杭州市江干区龙湖
龙湖春江天越,杭州市,钱塘区,"120.328047,30.310309",浙江省杭州市江干区龙湖
滨江春盛大江名筑,杭州市,滨江区,"120.151667,30.169379",浙江省杭州市滨江区滨江
金地艺境,杭州市,余杭区,"120.298148,30.361123",浙江省杭州市余杭区金地艺境
理想康城一品,杭州市,余杭区,"120.291640,30.403935",浙江省杭州市余杭区理想康城一品
绿城莲园,杭州市,余杭区,"120.288042,30.437054",浙江省杭州市余杭区绿城莲园
大江东宝龙广场,杭州市,钱塘区,"120.385756,30.311574",浙江省杭州市江干区大江东宝龙广场
中梁百悦城,杭州市,余杭区,"120.271874,30.437830",浙江省杭州市余杭区百悦城
宋都晨光国际,杭州市,钱塘区,"120.379179,30.284531",浙江省杭州市江干区宋都晨光国际
欣北钱江国际广场,杭州市,余杭区,"120.252633,30.467829",浙江省杭州市余杭区欣北钱江国际广场
嘉和银领时代,杭州市,余杭区,"120.261584,30.395657",浙江省杭州市余杭区嘉和银领时代
德信大江源著,杭州市,萧山区,"120.462442,30.299506",浙江省杭州市萧山区德信大江源著
华鼎君临天下城,杭州市,余杭区,"120.311123,30.404645",浙江省杭州市余杭区君临天下城
金隅观澜时代,杭州市,钱塘区,"120.368687,30.267253",浙江省杭州市江干区金隅观澜时代
保利罗兰香谷,杭州市,钱塘区,"120.236976,30.372807",浙江省杭州市江干区保利罗兰香谷
广厦天都城蓝调公寓,杭州市,余杭区,"120.246306,30.378949",浙江省杭州市余杭区蓝调公寓
华艺星座,杭州市,余杭区,"120.252848,30.393938",浙江省杭州市余杭区华艺星座
星桥桂花城,杭州市,余杭区,"120.265250,30.397208",浙江省杭州市余杭区星桥桂花城
保利湾天地,杭州市,钱塘区,"120.370263,30.272344",浙江省杭州市江干区保利湾天地
广厦天都城温莎花园,杭州市,余杭区,"120.242515,30.386456",浙江省杭州市余杭区温莎花园
朗诗未来街区,杭州市,余杭区,"120.301236,30.363502",浙江省杭州市余杭区朗诗未来街区
朗诗未来街区东园,杭州市,余杭区,"120.304507,30.363199",浙江省杭州市余杭区朗诗未来街区东园
赞成香颂,杭州市,余杭区,"120.279516,30.429039",浙江省杭州市余杭区赞成香颂
北郡中央公馆,杭州市,临安区,"119.720766,30.226561",浙江省杭州市临安区中央公馆
珑昕泽第,杭州市,余杭区,"120.310979,30.424207",浙江省杭州市余杭区珑昕泽第
桂花星城,杭州市,余杭区,"120.316473,30.412715",浙江省杭州市余杭区桂花星城
保利东湾,杭州市,钱塘区,"120.376117,30.273270",浙江省杭州市江干区保利东湾
黄鹤山居,杭州市,余杭区,"120.260108,30.399740",浙江省杭州市余杭区黄鹤山居
中意名仕苑,杭州市,余杭区,"120.300777,30.408514",浙江省杭州市余杭区中意名仕苑
广厦天都城紫韵公寓,杭州市,余杭区,"120.250343,30.379873",浙江省杭州市余杭区紫韵公寓
宏河嘉园,杭州市,萧山区,"120.457609,30.295045",浙江省杭州市萧山区宏河嘉园
盈都揽悦,杭州市,钱塘区,"120.379257,30.337364",浙江省杭州市江干区盈都揽悦
和达城,杭州市,钱塘区,"120.347730,30.308842",浙江省杭州市江干区和达城
保利江语海,杭州市,钱塘区,"120.392723,30.304327",浙江省杭州市江干区保利江语海
德信中外公寓,杭州市,钱塘区,"120.329898,30.313189",浙江省杭州市江干区德信中外公寓
复地又一城,杭州市,余杭区,"120.292107,30.336047",浙江省杭州市余杭区复地又一城
梦琴湾,杭州市,钱塘区,"120.388961,30.298193",浙江省杭州市江干区梦琴湾
塘栖金石华城,杭州市,余杭区,"120.199012,30.473268",浙江省杭州市余杭区金石华城
福雷德广场,杭州市,钱塘区,"120.348042,30.316659",浙江省杭州市江干区福雷德广场
绿城蓝庭,杭州市,余杭区,"120.274295,30.428432",浙江省杭州市余杭区绿城蓝庭
野风海天城,杭州市,钱塘区,"120.385577,30.299663",浙江省杭州市江干区野风海天城
帝凯帝景园,杭州市,萧山区,"120.463513,30.297651",浙江省杭州市萧山区帝景园
杭州东部国际商务中心,杭州市,钱塘区,"120.325580,30.310642",浙江省杭州市江干区东部国际商务中心
富春崇贤金属港,杭州市,余杭区,"120.135495,30.398057",浙江省杭州市余杭区富春崇贤金属港
多蓝水岸,杭州市,钱塘区,"120.386248,30.295101",浙江省杭州市江干区多蓝水岸
龙湖滟澜山,杭州市,钱塘区,"120.327022,30.312913",浙江省杭州市江干区龙湖滟澜山
伊萨卡国际城,杭州市,钱塘区,"120.384757,30.289711",浙江省杭州市江干区伊萨卡国际城
五月花城,杭州市,余杭区,"120.269538,30.401439",浙江省杭州市余杭区五月花城
东海柠檬郡,杭州市,钱塘区,"120.320985,30.297345",浙江省杭州市江干区东海柠檬郡
运河玲珑香榭南苑,杭州市,余杭区,"120.299611,30.455151",浙江省杭州市余杭区玲珑香榭南苑
至高钱塘一品,杭州市,萧山区,"120.457438,30.301457",浙江省杭州市萧山区至高钱塘一品
经纬美耀湾,杭州市,余杭区,"120.254069,30.397859",浙江省杭州市余杭区经纬美耀湾
美好桂花星座,杭州市,余杭区,"120.262967,30.384231",浙江省杭州市余杭区美好桂花星座
宝丽金庭,杭州市,余杭区,"120.201675,30.475706",浙江省杭州市余杭区宝丽金庭
琅琴湾,杭州市,萧山区,"120.492707,30.325414",浙江省杭州市萧山区琅琴湾
名城湖左岸,杭州市,钱塘区,"120.326842,30.314439",浙江省杭州市江干区名城湖左岸
水乡华庭,杭州市,余杭区,"120.184615,30.471558",浙江省杭州市余杭区水乡华庭
复地连城国际,杭州市,余杭区,"120.288726,30.334766",浙江省杭州市余杭区复地连城国际
精欧荣寓,杭州市,钱塘区,"120.351222,30.302484",浙江省杭州市江干区精欧荣寓
东冠逸景花苑,杭州市,余杭区,"120.289808,30.345865",浙江省杭州市余杭区东冠逸景花苑
美郡园,杭州市,萧山区,"120.492393,30.272555",浙江省杭州市萧山区美郡园
贝利栖溪公馆,杭州市,余杭区,"120.190590,30.469622",浙江省杭州市余杭区贝利栖溪公馆
景丽华庭,杭州市,余杭区,"120.234305,30.456414",浙江省杭州市余杭区景丽华庭
盛泰名都中心,杭州市,钱塘区,"120.347878,30.304365",浙江省杭州市江干区盛泰名都中心
绿城风华苑,杭州市,余杭区,"120.285516,30.399355",浙江省杭州市余杭区绿城风华苑
德信早城,杭州市,钱塘区,"120.329341,30.312774",浙江省杭州市江干区德信早城
南大暖东,杭州市,钱塘区,"120.379285,30.337302",浙江省杭州市江干区南大暖东
广厦天都城爵士花园,杭州市,余杭区,"120.245307,30.377866",浙江省杭州市余杭区爵士花园
贝利栖溪望府,杭州市,余杭区,"120.200428,30.477636",浙江省杭州市余杭区贝利栖溪望府
大业江东府,杭州市,拱墅区,"120.139013,30.295922",浙江省杭州市拱墅区大业
华鼎君临阁,杭州市,余杭区,"120.311112,30.403243",浙江省杭州市余杭区君临阁
金帝海珀,杭州市,余杭区,"120.284830,30.429956",浙江省杭州市余杭区金帝海珀
临江时代花苑,杭州市,萧山区,"120.594573,30.288587",浙江省杭州市萧山区时代花苑
蓝江四季晶品,杭州市,余杭区,"120.277500,30.431030",浙江省杭州市余杭区蓝江四季晶品
广大逸品,杭州市,余杭区,"120.311518,30.417720",浙江省杭州市余杭区广大逸品
瑞金华翠嘉苑,杭州市,余杭区,"120.254791,30.394817",浙江省杭州市余杭区瑞金华翠嘉苑
树兰书香名邸,杭州市,余杭区,"120.266890,30.414646",浙江省杭州市余杭区树兰书香名邸
美好桂花金座,杭州市,余杭区,"120.253735,30.391037",浙江省杭州市余杭区美好桂花金座
元都新景,杭州市,钱塘区,"120.205622,30.344007",浙江省杭州市江干区元都新景
杭州乔司商城,杭州市,余杭区,"120.287298,30.355359",浙江省杭州市余杭区乔司商城
阳光华城,杭州市,钱塘区,"120.375890,30.306880",浙江省杭州市江干区阳光华城
新城山语院,杭州市,余杭区,"120.282497,30.426232",浙江省杭州市余杭区新城山语院
江盛江南岸,杭州市,萧山区,"120.539566,30.284021",浙江省杭州市萧山区江盛江南岸
华元云水苑,杭州市,钱塘区,"120.386029,30.304051",浙江省杭州市江干区华元云水苑
首业御东湾,杭州市,萧山区,"120.455527,30.294917",浙江省杭州市萧山区御东湾
和达东东城,杭州市,钱塘区,"120.388591,30.296363",浙江省杭州市江干区和达东东城
鑫福万泰华庭,杭州市,萧山区,"120.497305,30.263998",浙江省杭州市萧山区鑫福万泰华庭
绿城紫桂公寓,杭州市,余杭区,"120.256509,30.398054",浙江省杭州市余杭区紫桂公寓
都市港湾,杭州市,余杭区,"120.303801,30.439109",浙江省杭州市余杭区都市港湾
经纬御贤府,杭州市,余杭区,"120.164508,30.380618",浙江省杭州市余杭区经纬御贤府
东尚国际寓所,杭州市,钱塘区,"120.355785,30.288117",浙江省杭州市江干区东尚国际寓所
朗诗花漫里,杭州市,余杭区,"120.281283,30.346116",浙江省杭州市余杭区朗诗花漫里
中和北宸府,杭州市,余杭区,"120.168009,30.378946",浙江省杭州市余杭区中和北宸府
上亿中央郡,杭州市,余杭区,"120.162651,30.381424",浙江省杭州市余杭区上亿中央郡
莱茵旺角七号,杭州市,余杭区,"120.305828,30.432257",浙江省杭州市余杭区莱茵旺角|7号
蓝色港湾,杭州市,萧山区,"120.536452,30.279038",浙江省杭州市萧山区蓝色港湾
广厦天都城宾果公寓,杭州市,余杭区,"120.250443,30.382673",浙江省杭州市余杭区广厦天都城
塘栖嘉园,杭州市,余杭区,"120.192136,30.480656",浙江省杭州市余杭区塘栖嘉园
佳兆业君汇上品,杭州市,余杭区,"120.292796,30.333362",浙江省杭州市余杭区佳兆业君汇上品
和达御观邸,杭州市,钱塘区,"120.330612,30.307819",浙江省杭州市江干区和达御观邸
春风江南府,杭州市,余杭区,"120.203927,30.474665",浙江省杭州市余杭区春风江南府
新加坡杭州科技园,杭州市,钱塘区,"120.369726,30.304334",浙江省杭州市江干区新加坡杭州科技园
树兰昆源项目,杭州市,余杭区,"120.263420,30.426539",浙江省杭州市余杭区树兰昆源项目
通和十二橡树颂居,杭州市,余杭区,"120.250683,30.395310",浙江省杭州市余杭区通和十二橡树
保亿青晨,杭州市,余杭区,"120.297677,30.368459",浙江省杭州市余杭区保亿青晨
保利城市果岭,杭州市,钱塘区,"120.395508,30.328525",浙江省杭州市江干区保利城市果岭
雍熙山,杭州市,余杭区,"120.295697,30.422933",浙江省杭州市余杭区雍熙山
龙湖香醍溪岸,杭州市,余杭区,"120.233379,30.445877",浙江省杭州市余杭区龙湖香醍溪岸
杭州碧桂园,杭州市,钱塘区,"120.393291,30.330140",浙江省杭州市江干区杭州碧桂园
绿城蓝庭花园洋房,杭州市,余杭区,"120.274295,30.428432",浙江省杭州市余杭区绿城蓝庭
泰美国际大厦,杭州市,拱墅区,"120.106166,30.301563",浙江省杭州市拱墅区丰园国际大厦
绿城玉园,杭州市,余杭区,"120.291350,30.404956",浙江省杭州市余杭区绿城玉园
东裕华庭,杭州市,萧山区,"120.593362,30.287275",浙江省杭州市萧山区东裕华庭
丰隆百翘香江,杭州市,钱塘区,"120.389687,30.328071",浙江省杭州市江干区丰隆百翘香江
景瑞御华府,杭州市,余杭区,"120.276922,30.386395",浙江省杭州市余杭区景瑞御华府
经建绅世郡,杭州市,余杭区,"120.280169,30.404314",浙江省杭州市余杭区绅世郡
莱茵知己,杭州市,余杭区,"120.278680,30.427117",浙江省杭州市余杭区莱茵知己
保利玫瑰湾,杭州市,钱塘区,"120.359499,30.265850",浙江省杭州市江干区保利玫瑰湾
世茂首府,杭州市,钱塘区,"120.383219,30.285329",浙江省杭州市江干区世茂首府
城建锦昌年华,杭州市,余杭区,"120.170043,30.381371",浙江省杭州市余杭区锦昌年华
安佳北郡,杭州市,余杭区,"120.165620,30.383890",浙江省杭州市余杭区安佳北郡
绿城财通中心,杭州市,钱塘区,"120.327770,30.308678",浙江省杭州市江干区绿城财通中心
宋都橄榄墅,杭州市,钱塘区,"120.395731,30.325698",浙江省杭州市江干区宋都橄榄墅
绿城集团52号地块,杭州市,西湖区,"120.140617,30.269447",浙江省杭州市西湖区绿城集团
杭房江东华府,杭州市,萧山区,"120.593417,30.291667",浙江省杭州市萧山区江东
嘉信九悦印象,杭州市,余杭区,"120.308247,30.418064",浙江省杭州市余杭区嘉信九悦印象
中洲碧桂园花溪源著,杭州市,淳安县,"118.488279,29.437265",浙江省杭州市淳安县中洲
华立和郡,杭州市,余杭区,"120.304314,30.432947",浙江省杭州市余杭区华立和郡
理想四维理想家园,杭州市,余杭区,"120.310040,30.429500",浙江省杭州市余杭区理想四维理想家园
华宇家园,杭州市,余杭区,"120.309785,30.431131",浙江省杭州市余杭区华宇家园
英冠天地城,杭州市,萧山区,"120.489054,30.267707",浙江省杭州市萧山区英冠天地城
保利唐宁十号府,杭州市,钱塘区,"120.392977,30.303871",浙江省杭州市江干区保利唐宁|10号
保利42号地块,杭州市,钱塘区,"120.371000,30.273000",浙江省杭州市江干区保利|42号
华源天盛中心,杭州市,余杭区,"120.307266,30.417231",浙江省杭州市余杭区华源天盛中心
和庄云顶,杭州市,西湖区,"120.072482,30.257047",浙江省杭州市西湖区和庄
恒隆-凯旋9号,烟台市,莱州市,"119.953699,37.189632",山东省烟台市莱州市恒隆凯旋|9号
小城怡景,烟台市,海阳市,"121.273450,36.706659",山东省烟台市海阳市小城
老体育场地块,烟台市,蓬莱区,"120.760930,37.819771",山东省烟台市蓬莱市老体育场
裕源锦里,烟台市,蓬莱区,"120.750311,37.811006",山东省烟台市蓬莱市裕源锦里
长岛国际度假区别墅区,烟台市,蓬莱区,"120.704050,37.988375",山东省烟台市长岛县长岛国际度假区
长岛瀛洲,烟台市,蓬莱区,"120.729472,37.943176",山东省烟台市长岛县长岛
碧海豪庭,烟台市,蓬莱区,"120.629663,37.762985",山东省烟台市蓬莱市碧海豪庭
万兴凤凰广场,烟台市,牟平区,"121.574086,37.392961",山东省烟台市牟平区万兴
蓬莱碧桂园,烟台市,蓬莱区,"120.806185,37.811913",山东省烟台市蓬莱市碧桂园
万隆上海国际公馆,烟台市,芝罘区,"121.403479,37.540748",山东省烟台市芝罘区万隆
海景苑,烟台市,蓬莱区,"120.790301,37.813056",山东省烟台市蓬莱市海景苑
万寿儒源,烟台市,蓬莱区,"120.753831,37.806597",山东省烟台市蓬莱市万寿
亚泰兰海公馆,烟台市,蓬莱区,"120.837812,37.805713",山东省烟台市蓬莱市亚泰兰海公馆
紫金世家,烟台市,莱山区,"121.442610,37.502945",山东省烟台市莱山区世家
龙熙阿卡迪亚,烟台市,海阳市,"121.160490,36.682299",山东省烟台市海阳市阿卡迪亚
蓬莱瑞府,烟台市,蓬莱区,"120.757579,37.793492",山东省烟台市蓬莱市蓬莱
渤海尚都[蓬莱],烟台市,蓬莱区,"120.792691,37.804313",山东省烟台市蓬莱市尚都
渤海湾国际公馆,烟台市,芝罘区,"121.414161,37.536408",山东省烟台市芝罘区光上滨海国际公馆
紫台花园,烟台市,蓬莱区,"120.765090,37.794126",山东省烟台市蓬莱市紫台花园
半岛蓝湾,烟台市,蓬莱区,"120.845237,37.801889",山东省烟台市蓬莱市半岛蓝湾
长岛悦海假日,烟台市,蓬莱区,"120.734430,37.914710",山东省烟台市长岛县悦海假日
仙岛印象,烟台市,蓬莱区,"120.736969,37.949144",山东省烟台市长岛县仙岛印象
海郡壹號洋房,烟台市,蓬莱区,"120.708294,37.811489",山东省烟台市蓬莱市海郡壹号
蓬莱宝龙广场,烟台市,蓬莱区,"120.764472,37.817273",山东省烟台市蓬莱市宝龙广场
福景新城,南宁市,横县,"108.898263,22.869613",广西壮族自治区南宁市横县福景新城
来源-丽景花园,南宁市,横县,"108.888338,22.871274",广西壮族自治区南宁市横县来源丽景小区
御江华庭,南宁市,横县,"109.255037,22.675240",广西壮族自治区南宁市横县御江华庭
世纪滨江,南宁市,横县,"109.269736,22.679948",广西壮族自治区南宁市横县世纪滨江
骋望天玺,南宁市,西乡塘区,"108.227785,22.829089",广西壮族自治区南宁市西乡塘区骋望天玺
横县碧桂园,南宁市,横县,"109.250478,22.692749",广西壮族自治区南宁市横县碧桂园
茉莉春天,南宁市,横县,"109.276340,22.698486",广西壮族自治区南宁市横县茉莉春天
汉军龙江帝景,南宁市,兴宁区,"108.489248,22.951687",广西壮族自治区南宁市兴宁区龙江
西城国际,宝鸡市,凤翔县,"107.386922,34.521301",陕西省宝鸡市凤翔县西城国际
清水湾智汇城,三亚市,天涯区,"109.497050,18.256836",海南省三亚市天涯区清水湾
桃源居-御品,三亚市,天涯区,"109.495406,18.261921",海南省三亚市天涯区桃源居
汇艺蓝海湾,三亚市,天涯区,"109.393033,18.296268",海南省三亚市天涯区蓝海湾
汇泽-蓝海湾,三亚市,天涯区,"109.393033,18.296268",海南省三亚市天涯区蓝海湾
东方海郡,三亚市,天涯区,"109.498734,18.262983",海南省三亚市天涯区东方海郡
五指山-山水名城,三亚市,吉阳区,"109.585426,18.318110",海南省三亚市吉阳区五指山
五指山绿洲岛,三亚市,吉阳区,"109.585426,18.318110",海南省三亚市吉阳区五指山
融创日月湾,三亚市,天涯区,"109.490279,18.269199",海南省三亚市天涯区融创日月湾
阳光雨林,三亚市,天涯区,"109.501688,18.245969",海南省三亚市天涯区阳光
宇全-清水湾,三亚市,天涯区,"109.497050,18.256836",海南省三亚市天涯区清水湾
万祥温泉家园,三亚市,天涯区,"109.457742,18.297746",海南省三亚市天涯区温泉家园
东方壹号公馆,三亚市,天涯区,"109.505733,18.243124",海南省三亚市天涯区壹号公馆
东方壹号华府,三亚市,吉阳区,"109.613181,18.233944",海南省三亚市吉阳区东方|1
山海湾温泉家园二区,三亚市,天涯区,"109.501272,18.249137",海南省三亚市天涯区山海湾温泉家园
龙池湾花园,三亚市,吉阳区,"109.516430,18.245239",海南省三亚市吉阳区龙池湾花园
金港海岸,三亚市,天涯区,"109.501560,18.244613",海南省三亚市天涯区海岸
东方碧海云天,三亚市,天涯区,"109.501140,18.259330",海南省三亚市天涯区东方碧海云天
东方汇园,三亚市,天涯区,"109.496151,18.257650",海南省三亚市天涯区东方汇园
东方海岸,三亚市,天涯区,"109.495703,18.258215",海南省三亚市天涯区东方海岸
天源海景,三亚市,天涯区,"109.498490,18.263775",海南省三亚市天涯区天源海景
国茂清水湾国际旅游养生度假区,三亚市,天涯区,"109.497050,18.256836",海南省三亚市天涯区清水湾
龙沐湾1号海景公馆,三亚市,天涯区,"109.438248,18.287954",海南省三亚市天涯区三亚嘉和海景公馆
鲁能山海天泰山7号,三亚市,吉阳区,"109.512109,18.216980",海南省三亚市吉阳区鲁能山海天
和威月光海岸,三亚市,吉阳区,"109.654459,18.236510",海南省三亚市吉阳区月光
绿海花园,三亚市,吉阳区,"109.509460,18.276476",海南省三亚市吉阳区瑞海花园
国安海岸,三亚市,天涯区,"109.501560,18.244613",海南省三亚市天涯区海岸
正大-开元盛景,三亚市,崖州区,"109.168267,18.368444",海南省三亚市崖州区正大
那香山,三亚市,吉阳区,"109.516276,18.251804",海南省三亚市吉阳区那香山
金澜湾,三亚市,天涯区,"109.490530,18.269980",海南省三亚市天涯区金澜湾
荣昱-月亮湾,三亚市,天涯区,"109.496722,18.256884",海南省三亚市天涯区荣昱月亮湾
碧桂园澜江华府,三亚市,天涯区,"109.490341,18.269184",海南省三亚市天涯区碧桂园
清澜半岛,三亚市,吉阳区,"109.492632,18.208815",海南省三亚市吉阳区半岛
海湾雨林,三亚市,崖州区,"109.151529,18.331631",海南省三亚市崖州区海湾
福隆丽水湾,三亚市,天涯区,"109.389158,18.296672",海南省三亚市天涯区福隆
冠永凤凰城,三亚市,吉阳区,"109.511242,18.278208",海南省三亚市吉阳区三永凤凰城
半山和园,三亚市,天涯区,"109.498520,18.254466",海南省三亚市天涯区半山和园
恒泰-琉金岁月,三亚市,吉阳区,"109.514765,18.256592",海南省三亚市吉阳区琉金岁月
中华坊,三亚市,吉阳区,"109.520570,18.282790",海南省三亚市吉阳区中华坊
阳光椰风苑,三亚市,天涯区,"109.498439,18.254658",海南省三亚市天涯区阳光椰风苑
五指山双大和园,三亚市,吉阳区,"109.585426,18.318110",海南省三亚市吉阳区五指山
福源-林溪谷,三亚市,崖州区,"109.174867,18.350350",海南省三亚市崖州区福源
清泉上城,三亚市,天涯区,"109.454506,18.298281",海南省三亚市天涯区清泉
景业清水湾3号,三亚市,天涯区,"109.497050,18.256836",海南省三亚市天涯区清水湾
椰林阳光,三亚市,天涯区,"109.501622,18.245613",海南省三亚市天涯区椰林
碧桂园海逸半岛,三亚市,天涯区,"109.490341,18.269184",海南省三亚市天涯区碧桂园
东方海岸假日,三亚市,天涯区,"109.495703,18.258215",海南省三亚市天涯区东方海岸
雅居乐星光城,三亚市,天涯区,"109.514904,18.224694",海南省三亚市天涯区雅乐居
海伦世家,三亚市,天涯区,"109.501343,18.253183",海南省三亚市天涯区世家
海城时代广场,三亚市,吉阳区,"109.511556,18.231734",海南省三亚市吉阳区时代广场
五指山澜湖岸边,三亚市,吉阳区,"109.585426,18.318110",海南省三亚市吉阳区五指山
天域山庄,汕头市,南澳县,"117.019920,23.418027",广东省汕头市南澳县天域山庄
天域南湖,贵阳市,白云区,"106.614136,26.672103",贵州省贵阳市白云区天域南湖
金茂正荣岭南府,佛山市,禅城区,"113.124603,23.018117",广东省佛山市禅城区岭南
